Alternative Rock,21
Electronic,58
Hip-Hop,4
Jazz,7
Metal,1
Pop,14
Punk,3
Rock,30
Ambient,33
Americana,29
Black Metal,47
Bluegrass,24
Blues,20
Breaks,96
Britpop,31
Classical,17
Country,25
Death Metal,11
Doom Metal,34
Downtempo,63
Dream Pop,36
Drone,37
Drum and Bass,32
Dubstep,5
Emo,16
Experimental,43
Folk,10
Folk Punk,41
Funk,8
Garage,64
Gothic,86
Grime,48
Grind,61
Grunge,22
Hard Rock,95
Hardcore,55
Heavy Metal,82
House,62
IDM,74
Indie Folk,42
Indie Pop,2
Indie Rock,49
Industrial,56
Jam Rock,19
Jazz Fusion,97
Lo-fi,27
Math Rock,93
Melodic Death Metal,173
Metalcore,26
Minimal,13
New Age,181
Noise Rock,98
Nu-metal,28
Pop Punk,12
Pop Rock,54
Post Hardcore,59
Post Metal,38
Post Punk,52
Post Rock,6
Power Metal,40
Progressive Metal,15
Progressive Rock,23
Psychedelic,18
R&B,84
Reggae,51
Shoegaze,35
Ska,57
Sludge Metal,66
Soul,53
Soundtrack,50
Stoner Rock,65
Techno,67
Thrash Metal,39
Trance,68
Trip Hop,60
